,rho_EI_coeffs,rho_IR_coeffs,beta_I_coeffs,beta_I_bias,fatality_I,ratio_E,E_0,I_0,R_0
Raw value,-2.411448021,-3.112130572,[-0.74672911 -1.13776926 -9.75785918 -0.53746774 -0.58607466  0.44369449],-1.43363514,-4.178993547,-2.13101158,-3.46984768,-5.87091805,-16.98859582
Nominal value,0.082303883,0.042609645,[-0.74672911 -1.13776926 -9.75785918 -0.53746774 -0.58607466  0.44369449],-1.43363514,0.015082934,0.106118997,0.031121771,0.002820283,4.18742E-08
